Date,Medicine_ID,Medicine_Name,Category,Supplier,Region,Units_Sold,Unit_Price,Revenue,Inventory_Level
2024-03-29,M089,Amlodipine,BP,Cipla,Mangalore,138,7,966,730
2024-03-30,M090,Telmisartan,BP,Apollo Pharma,Belgaum,95,20,1900,285
2024-03-31,M091,Atorvastatin,Cholesterol,Sun Pharma,Bangalore,80,22,1760,300
2024-04-01,M092,ORS,Hydration,Himalaya,Mysore,185,6,1110,950
2024-04-02,M093,Zinc Tablets,Supplements,Cipla,Hubli,120,9,1080,460
2024-04-03,M094,Cough Syrup,Cold & Cough,Dr Reddy's,Mangalore,85,35,2975,230
2024-04-04,M095,Dolo 650,Fever,Apollo Pharma,Bangalore,200,8,1600,900
2024-04-05,M096,Liv 52,Liver Care,Himalaya,Belgaum,75,28,2100,320
2024-04-06,M097,Glimepiride,Diabetes,Cipla,Mysore,110,14,1540,400
2024-04-07,M098,Omeprazole,Gastro,Sun Pharma,Hubli,130,16,2080,450
2024-04-08,M099,Paracetamol,Pain Relief,Dr Reddy's,Bangalore,160,5,800,600
2024-04-09,M100,Vitamin D3,Vitamins,Himalaya,Mangalore,115,18,2070,380
